inf,-nan,-nan,-nan
2.000000,0.000000,0.000000,0.000000
1.500000,0.000000,0.000000,0.000000
1.333333,0.000000,0.000000,0.000000
1.000000,0.250000,0.000000,0.000000
0.800000,0.200000,0.000000,0.200000
0.666667,0.166667,0.000000,0.333333
0.571429,0.142857,0.000000,0.428571
0.500000,0.125000,0.000000,0.500000
0.444444,0.111111,0.000000,0.555556
0.400000,0.100000,0.000000,0.600000
0.363636,0.090909,0.000000,0.636364
0.333333,0.083333,0.000000,0.666667
0.307692,0.076923,0.000000,0.692308
0.285714,0.071429,0.071429,0.642857
0.333333,0.066667,0.066667,0.600000
0.375000,0.062500,0.062500,0.562500
0.411765,0.058824,0.058824,0.529412
0.444444,0.055556,0.055556,0.500000
0.421053,0.105263,0.052632,0.473684
0.400000,0.100000,0.050000,0.500000
0.380952,0.095238,0.047619,0.523810
0.363636,0.090909,0.090909,0.500000
0.391304,0.086957,0.086957,0.478261
0.416667,0.083333,0.083333,0.458333
0.440000,0.080000,0.080000,0.440000
0.461538,0.076923,0.076923,0.423077
0.481481,0.074074,0.074074,0.407407
0.500000,0.071429,0.071429,0.392857
0.517241,0.068966,0.068966,0.379310
0.533333,0.066667,0.066667,0.366667
0.548387,0.064516,0.064516,0.354839
0.562500,0.062500,0.062500,0.343750
0.575758,0.060606,0.060606,0.333333
0.588235,0.058824,0.058824,0.323529
0.600000,0.057143,0.057143,0.314286
0.611111,0.055556,0.055556,0.305556
0.621622,0.054054,0.054054,0.297297
0.631579,0.052632,0.052632,0.289474
0.641026,0.051282,0.051282,0.282051
0.650000,0.050000,0.050000,0.275000
0.658537,0.048780,0.048780,0.268293
0.666667,0.047619,0.047619,0.261905
0.674419,0.046512,0.046512,0.255814
0.681818,0.045455,0.045455,0.250000
0.688889,0.044444,0.044444,0.244444
0.695652,0.043478,0.043478,0.239130
0.702128,0.042553,0.042553,0.234043
0.687500,0.062500,0.041667,0.229167
0.673469,0.061224,0.040816,0.244898
0.660000,0.060000,0.040000,0.260000
0.647059,0.058824,0.039216,0.274510
0.634615,0.057692,0.057692,0.269231
0.641509,0.056604,0.056604,0.264151
0.648148,0.055556,0.055556,0.259259
0.654545,0.054545,0.054545,0.254545
0.660714,0.053571,0.053571,0.250000
0.666667,0.052632,0.052632,0.245614
0.672414,0.051724,0.051724,0.241379
0.677966,0.050847,0.050847,0.237288
0.683333,0.050000,0.050000,0.233333
0.688525,0.049180,0.049180,0.229508
0.693548,0.048387,0.048387,0.225806
0.698413,0.047619,0.047619,0.222222
0.703125,0.046875,0.046875,0.218750
0.707692,0.046154,0.046154,0.215385
0.712121,0.045455,0.045455,0.212121
0.701493,0.059701,0.044776,0.208955
0.691176,0.058824,0.058824,0.205882
0.695652,0.057971,0.057971,0.202899
0.700000,0.057143,0.057143,0.200000
0.704225,0.056338,0.056338,0.197183
0.708333,0.055556,0.055556,0.194444
0.712329,0.054795,0.054795,0.191781
0.716216,0.054054,0.054054,0.189189
0.720000,0.053333,0.053333,0.186667
0.723684,0.052632,0.052632,0.184211
0.727273,0.051948,0.051948,0.181818
0.730769,0.051282,0.051282,0.179487
0.734177,0.050633,0.050633,0.177215
0.737500,0.050000,0.050000,0.175000
0.740741,0.049383,0.049383,0.172840
0.743902,0.048780,0.048780,0.170732
0.746988,0.048193,0.048193,0.168675
0.750000,0.047619,0.047619,0.166667
0.752941,0.047059,0.047059,0.164706
0.755814,0.046512,0.046512,0.162791
0.758621,0.045977,0.045977,0.160920
0.761364,0.045455,0.045455,0.159091
0.764045,0.044944,0.044944,0.157303
0.766667,0.044444,0.044444,0.155556
0.769231,0.043956,0.043956,0.153846
0.771739,0.043478,0.043478,0.152174
0.774194,0.043011,0.043011,0.150538
0.776596,0.042553,0.042553,0.148936
0.778947,0.042105,0.042105,0.147368
0.770833,0.052083,0.041667,0.145833
0.762887,0.051546,0.041237,0.154639
0.755102,0.051020,0.040816,0.163265
0.747475,0.050505,0.050505,0.161616
0.750000,0.050000,0.050000,0.160000
0.742574,0.059406,0.049505,0.158416
0.735294,0.058824,0.049020,0.166667
0.728155,0.058252,0.048544,0.174757
0.721154,0.057692,0.048077,0.182692
0.714286,0.057143,0.047619,0.190476
0.707547,0.056604,0.056604,0.188679
0.710280,0.056075,0.056075,0.186916
0.712963,0.055556,0.055556,0.185185
0.715596,0.055046,0.055046,0.183486
0.718182,0.054545,0.054545,0.181818
0.720721,0.054054,0.054054,0.180180
0.723214,0.053571,0.053571,0.178571
0.725664,0.053097,0.053097,0.176991
0.728070,0.052632,0.052632,0.175439
0.721739,0.060870,0.052174,0.173913
0.715517,0.060345,0.051724,0.181034
0.709402,0.059829,0.051282,0.188034
0.703390,0.059322,0.050847,0.194915
0.697479,0.058824,0.050420,0.201681
0.691667,0.058333,0.050000,0.208333
0.685950,0.057851,0.057851,0.206612
0.688525,0.057377,0.057377,0.204918
0.691057,0.056911,0.056911,0.203252
0.693548,0.056452,0.056452,0.201613
0.696000,0.056000,0.056000,0.200000
0.698413,0.055556,0.055556,0.198413
0.700787,0.055118,0.055118,0.196850
0.703125,0.054688,0.054688,0.195312
0.705426,0.054264,0.054264,0.193798
0.707692,0.053846,0.053846,0.192308
0.709924,0.053435,0.053435,0.190840
0.712121,0.053030,0.053030,0.189394
0.714286,0.052632,0.052632,0.187970
0.716418,0.052239,0.052239,0.186567
0.718518,0.051852,0.051852,0.185185
0.720588,0.051471,0.051471,0.183824
0.722628,0.051095,0.051095,0.182482
0.724638,0.050725,0.050725,0.181159
0.726619,0.050360,0.050360,0.179856
0.728571,0.050000,0.050000,0.178571
0.730496,0.049645,0.049645,0.177305
0.732394,0.049296,0.049296,0.176056
0.734266,0.048951,0.048951,0.174825
0.729167,0.055556,0.048611,0.173611
0.724138,0.055172,0.048276,0.179310
0.719178,0.054795,0.047945,0.184932
0.714286,0.054422,0.047619,0.190476
0.709459,0.054054,0.047297,0.195946
0.704698,0.053691,0.046980,0.201342
0.700000,0.053333,0.046667,0.206667
0.695364,0.052980,0.046358,0.211921
0.690789,0.052632,0.046053,0.217105
0.686275,0.052288,0.045752,0.222222
0.681818,0.051948,0.045455,0.227273
0.677419,0.051613,0.045161,0.232258
0.673077,0.051282,0.051282,0.230769
0.675159,0.050955,0.050955,0.229299
0.677215,0.050633,0.050633,0.227848
0.679245,0.050314,0.050314,0.226415
0.681250,0.050000,0.050000,0.225000
0.683230,0.049689,0.049689,0.223602
0.685185,0.049383,0.049383,0.222222
0.680982,0.055215,0.049080,0.220859
0.676829,0.054878,0.048780,0.225610
0.672727,0.054545,0.048485,0.230303
0.668675,0.054217,0.048193,0.234940
0.664671,0.053892,0.053892,0.233533
0.666667,0.053571,0.053571,0.232143
0.668639,0.053254,0.053254,0.230769
0.670588,0.052941,0.052941,0.229412
0.672515,0.052632,0.052632,0.228070
0.674419,0.052326,0.052326,0.226744
0.676301,0.052023,0.052023,0.225434
0.678161,0.051724,0.051724,0.224138
0.680000,0.051429,0.051429,0.222857
0.681818,0.051136,0.051136,0.221591
0.683616,0.050847,0.050847,0.220339
0.685393,0.050562,0.050562,0.219101
0.687151,0.050279,0.050279,0.217877
0.688889,0.050000,0.050000,0.216667
0.690608,0.049724,0.049724,0.215470
0.692308,0.049451,0.049451,0.214286
